,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,True,True,1,0,1,0
1,True,True,1,2,1,0
2,True,True,1,0,1,0
3,False,False,0,0,0,0
4,False,False,1,1,0,1
5,False,False,0,0,0,0
6,False,False,0,0,0,0
7,True,True,0,0,0,0
8,True,True,1,0,1,0
9,True,True,1,0,1,0
10,True,True,0,0,0,0
11,True,True,0,0,0,0
12,True,True,0,0,0,0
13,False,False,0,0,0,0
14,True,True,1,0,1,0
15,False,False,0,0,0,0
16,True,True,0,0,0,0
17,True,True,1,3,1,0
18,True,True,0,0,0,0
19,True,True,1,0,1,0
20,False,False,0,0,0,0
21,True,True,0,0,0,0
22,True,True,1,0,1,0
23,False,False,0,0,0,0
24,True,True,1,1,1,0
25,True,False,0,0,0,0
26,True,True,1,0,1,0
27,True,True,1,2,1,0
28,False,False,0,0,0,0
29,True,True,1,0,1,0
30,True,True,1,3,1,0
31,False,False,1,4,0,1
32,True,True,0,0,0,0
33,False,False,0,0,0,0
34,True,True,1,0,1,0
35,True,True,0,0,0,0
36,True,True,1,0,1,0
37,True,True,1,1,1,0
38,True,True,1,0,1,0
39,True,True,0,0,0,0
40,True,True,1,0,1,0
41,True,True,1,0,1,0
42,True,True,0,0,0,0
43,True,False,0,0,0,0
44,False,True,1,3,1,0
45,True,True,1,0,1,0
46,True,True,1,1,1,0
47,False,False,0,0,0,0
48,False,False,0,0,0,0
49,False,False,0,0,0,0
50,True,True,0,0,0,0
51,False,False,0,0,0,0
52,True,False,0,0,0,0
53,True,True,0,0,0,0
54,True,True,0,0,1,0
55,True,True,1,1,1,0
56,True,True,1,2,1,0
57,True,True,1,0,1,0
58,True,False,0,0,0,0
59,True,True,1,0,1,0
60,False,False,0,0,0,0
61,True,True,0,0,0,0
62,True,True,1,0,1,0
63,True,True,0,0,1,0
64,False,True,1,4,1,0
65,True,True,1,1,1,0
66,True,True,0,0,0,0
67,True,True,0,0,0,0
68,True,True,1,0,1,0
69,True,True,1,4,1,0
70,True,False,1,1,0,1
71,True,True,1,1,1,0
72,True,True,1,0,1,0
73,True,True,1,2,1,0
74,True,True,0,0,0,0
75,True,True,1,2,1,0
76,True,True,1,1,1,0
77,True,True,1,0,1,0
78,True,True,0,0,0,0
79,True,True,1,6,1,0
80,False,False,0,0,0,0
81,True,False,0,0,0,0
82,True,True,0,0,0,0
83,True,True,1,2,1,0
84,True,True,1,0,1,0
85,False,True,0,0,0,0
86,True,True,1,0,1,0
87,True,True,1,1,1,0
88,True,True,1,0,1,0
89,False,False,0,0,0,0
90,True,True,1,1,1,0
91,False,False,0,0,0,0
92,True,True,1,2,1,0
93,False,False,0,0,0,0
94,True,True,1,0,1,0
95,False,False,0,0,0,0
96,True,True,1,0,1,0
97,True,False,1,6,0,1
98,True,True,0,0,1,0
99,True,True,0,0,0,0
100,True,False,1,4,0,1
101,True,True,0,0,0,0
102,True,True,1,0,1,0
103,True,True,1,0,1,0
104,True,True,1,0,1,0
105,True,True,1,0,1,0
106,True,True,1,0,1,0
107,True,True,1,0,1,0
108,True,True,0,0,1,0
109,True,False,1,2,0,1
110,True,False,1,2,0,1
111,False,False,1,52,0,1
112,True,True,1,0,1,0
113,False,False,0,0,0,0
114,True,True,0,0,1,0
115,True,True,1,0,1,0
116,True,True,0,0,0,0
117,True,False,0,0,0,0
118,True,True,0,0,0,0
119,True,False,0,0,0,1
120,True,True,0,0,0,0
121,True,True,1,1,1,0
122,True,True,0,0,1,0
123,True,True,1,0,1,0
124,False,False,0,0,0,0
125,True,True,1,0,1,0
126,True,True,1,0,1,0
127,True,True,0,0,0,0
128,True,True,0,0,1,0
129,True,True,1,1,1,0
130,True,True,1,0,1,0
131,True,True,0,0,0,0
132,True,False,0,0,0,0
133,False,False,0,0,0,0
134,True,True,1,1,1,0
135,True,True,1,0,1,0
136,True,True,0,0,1,0
137,True,True,1,0,1,0
138,True,False,1,1,0,1
139,True,True,1,0,1,0
140,False,False,0,0,0,0
141,False,False,0,0,0,0
142,True,True,1,0,1,0
143,True,True,0,0,0,0
144,True,True,1,0,1,0
145,True,True,1,0,1,0
146,False,False,0,0,0,1
147,True,True,0,0,0,0
148,True,True,0,0,1,0
149,False,False,0,0,0,0
150,False,False,1,6,0,0
151,True,True,1,4,1,0
152,True,False,1,1,0,1
153,True,False,1,4,0,1
154,True,True,0,0,0,0
155,True,True,0,0,0,0
156,True,True,0,0,0,0
157,True,True,1,1,1,0
158,True,True,0,0,0,0
159,False,False,1,1,0,2
160,True,True,1,0,1,0
161,False,True,0,0,0,0
