,leading_p_is_casual,highest_post_prob_is_casual,num_true_possitive_p5*10**(-8),num_false_possitive_p5*10**(-8),num_true_possitive_post95,num_false_possitive_post95
0,[False],[False],1,36,1,5
1,[ True],[ True],1,50,1,1
2,[ True],[ True],1,45,1,0
3,[False],[ True],1,30,1,3
4,[ True],[False],1,7,1,3
5,[ True],[ True],1,4,1,3
6,[ True],[ True],1,0,1,4
7,[ True],[False],1,17,1,3
8,[ True],[ True],1,2,1,3
9,[ True],[ True],1,3,1,4
10,[ True],[ True],1,63,1,0
11,[ True],[False],1,3,1,4
12,[False],[ True],1,33,1,2
13,[ True],[False],1,12,1,4
14,[ True],[ True],1,14,1,3
15,[ True],[False],1,16,1,3
16,[False],[ True],1,52,1,2
17,[ True],[ True],1,11,1,4
18,[ True],[False],1,26,1,2
19,[ True],[False],1,11,1,3
